1 d&eacute;cembre 2014,content/pdf/communiques/sdn_-_20141201_-_nucleaire_pas_de_prolongation.pdf,"Nucl&eacute;aire: Pas de prolongation !",3.7MB
18 septembre 2014,content/pdf/communiques/sdn_-_20140918_-_SDN_Contratom.pdf,"Passez des paroles aux actes Madame Leuthard !",415KB
27 juin 2014,content/pdf/communiques/sdn_20140627_commission_de_l_energie.pdf,"Trois ans apr&egrave;s Fukushima : La Sortie du nucl&eacute;aire mise au placard par la commission de l'&eacute;nergie ?",230KB
30 octobre 2013,content/pdf/communiques/sdn_20131030_Muhleberg_prolongation.pdf,"Prolongation de 6 ans pour M&uuml;hleberg : Inacceptable !",416KB
28 mars 2013,content/pdf/communiques/sdn_20130328_Muhleberg_TF.pdf,"Centrale nucl&eacute;aire de M&uuml;hleberg: Jugement irresponsable du Tribunal f&eacute;d&eacute;ral",92KB
6 mars 2013,content/pdf/communiques/sdn_20130306_Muhleberg.pdf,"Contre-projet du gouvernement bernois &agrave; l'initiative cantonale &laquo; M&uuml;hleberg &agrave; l&rsquo;arr&ecirc;t &raquo; : Irresponsable !",66KB
11 f&eacute;vrier 2013,content/pdf/communiques/sdn_20130211_Strategie_energetique_2050.pdf,"Strat&eacute;gie &eacute;nerg&eacute;tique 2050: Virage historique, mais mauvaise hi&eacute;rarchie dans les moyens",77KB
13 d&eacute;cembre 2012,content/pdf/communiques/sdn_-_20121213_-_AG_extraordinaire.pdf,"Assembl&eacute;e g&eacute;n&eacute;rale extraordinaire de Sortir du Nucl&eacute;aire",56KB
12 novembre 2012,content/pdf/communiques/sdn_-_20121106_-_loi_energie_fribourg.pdf,"Loi sur l'&eacute;nergie &agrave; Fribourg : Chauffages &eacute;lectriques ou ind&eacute;pendance &eacute;nerg&eacute;tique ?",150KB
1 novembre 2012,content/pdf/communiques/sdn_-_20121101_-_lecons_apprises_apres_sandy.pdf,"S&eacute;curit&eacute; nucl&eacute;aire : Le&ccedil;ons apprises apr&egrave;s Sandy",130KB
16 d&eacute;cembre 2011,content/pdf/communiques/sdn_-_20111216_-_tchernobyl.pdf,"4e vente de pommes pour les enfants de Tchernobyl",2.2MB
29 juin 2011,content/pdf/communiques/sdn_-_20110611_-_muehleberg.pdf,"Ne red&eacute;marrez jamais M&uuml;hleberg !",143KB
14 mars 2011,content/pdf/communiques/sdn_-_110314_-_illusion.pdf,"La ma&icirc;trise du risque nucl&eacute;aire est une illusion",83KB
23 novembre 2010,content/pdf/communiques/sdn_-_101123_-_scandales_sanitaires.pdf,"Nucl&eacute;aire: Les scandales sanitaires s'accumulent",127KB
11 novembre 2010,content/pdf/communiques/sdn_-_101111_-_alpiq.pdf,"Avant la conf&eacute;rence du directeur g&eacute;n&eacute;ral d'ALPIQ : Quelques v&eacute;rit&eacute;s t&eacute;tues &agrave; se rappeler",148KB
15 juliet 2010,content/pdf/communiques/sdn_-_100715_-_muhleberg.pdf,"Jugement du Tribunal administratif f&eacute;d&eacute;ral sur la prolongation de la centrale de Muhleberg: Victoire d'&eacute;tape pour la transparence !",67KB
25 avril 2010,content/pdf/communiques/sdn_-_100425_-_tchernobyl.pdf,"24 ans apr&egrave;s la catastrophe de Tchernobyl",61KB
2 f&eacute;frier 2010,content/pdf/communiques/sdn_-_100202_-_recours_muhleberg.pdf,"M&uuml;hleberg: Soutien romand au recours contre la d&eacute;cision du DETEC",54KB
21 d&eacute;cembre 2009,content/pdf/communiques/sdn_-_091221_-_muehleberg_scandaleux.pdf,"La d&eacute;cision du DETEC d'autoriser la prolongation &agrave; dur&eacute;e illimit&eacute;e de la centrale de Muhleberg est scandaleuse",63KB
29 novembre 2009,content/pdf/communiques/sdn_-_091130_-_muehleberg_non.pdf,"NON &agrave; M&uuml;hleberg: une victoire pour les vaudois!",51KB
13 novembre 2009,content/pdf/communiques/sdn_-_091113_-_muehleberg_fmb.pdf,"Les FMB investissent massivement dans une centrale &agrave; charbon",80KB
28 octobre 2009,content/pdf/communiques/sdn_-_091028_-_muehleberg_non.pdf,"NON &agrave; la prolongation illimit&eacute;e de la centrale nucl&eacute;aire de M&uuml;hleberg",127KB
24 octobre 2009,content/pdf/communiques/sdn_091024_vente_pommes.pdf,"Une pomme pour lutter contre Tchernobyl ?",
8 octobre 2008,content/pdf/communiques/sdn_-_081008_-_recours_deposes.pdf,"Feu Vert du Conseil d'Etat vaudois pour la centrale nucl&eacute;aire de M&uuml;hleberg : Recours d&eacute;pos&eacute;s !",160KB
8 septembre 2008,content/pdf/communiques/sdn_-_080908_-_scandaleuse_faiblesse.pdf,"Scandaleuse faiblesse du Conseil d'Etat vaudois face au lobby nucl&eacute;aire !",162KB
10 juin 2008,content/pdf/communiques/sdn_-_070307_-_postulat_ory.pdf,"Demande d'autorisation pour une nouvelle centrale nucl&eacute;aire en suisse",.
8 d&eacute;cembre 2007,content/pdf/communiques/sdn_-_071208_-_changement_climatique.pdf,"&Agrave; l'occasion de la journ&eacute;e mondiale contre le changement climatique qui a lieu le 8 d&eacute;cembre, Sortir du nucl&eacute;aire rappelle que le climat ne sauvera pas le nucl&eacute;aire&nbsp;! ",457KB
17 avril 2007,content/pdf/communiques/sdn_-_070417_-_Non_enfouissement.pdf,"Non &agrave; l'enfouissement des d&eacute;chets nucl&eacute;aires",1.3M
7 mars 2007,content/pdf/communiques/sdn_-_070307_-_postulat_ory.pdf,"La coordination romande «Sortir du nucl&eacute;aire» s'&eacute;tonne de la r&eacute;ponse du Conseil F&eacute;d&eacute;ral au postulat de Gis&egrave;le Ory",581K
29 juin 2006,content/pdf/communiques/sdn_-_060629_-_nagra.pdf,"La coordination romande «Sortir du nucl&eacute;aire» met en doute les d&eacute;clarations de la Nagra sur la faisabilit&eacute; d'un stockage s&ucirc;r des d&eacute;chets de haute radioactivit&eacute; en profondeur.",483K
